n:  130126761 (9.3769%)
t:  121754231 (8.7736%)
h:   99066164 (7.1387%)
i:   83007739 (5.9815%)
a:   73075221 (5.2658%)
c:   70881618 (5.1077%)
g:   64489672 (4.6471%)
o:   62395487 (4.4962%)
l:   53434707 (3.8505%)
e:   50157883 (3.6144%)
r:   48615758 (3.5032%)
u:   47536661 (3.4255%)
m:   40180055 (2.8954%)
s:   36598896 (2.6373%)
p:   26644200 (1.9200%)
đ:   22908114 (1.6508%)
à:   22082217 (1.5912%)
b:   21251662 (1.5314%)
v:   20711919 (1.4925%)
d:   20203492 (1.4559%)
y:   17935960 (1.2925%)
k:   16675265 (1.2016%)
q:   15190901 (1.0947%)
ư:   13763690 (0.9918%)
f:   13589306 (0.9792%)
á:   13410635 (0.9664%)
ạ:   10598562 (0.7637%)
ộ:    8811634 (0.6350%)
ế:    7706292 (0.5553%)
ê:    7463618 (0.5378%)
ể:    7309664 (0.5267%)
ô:    6951122 (0.5009%)
â:    6283868 (0.4528%)
ệ:    6045898 (0.4357%)
ố:    5820752 (0.4194%)
ủ:    5742344 (0.4138%)
x:    5714836 (0.4118%)
ó:    5567908 (0.4012%)
ậ:    5510473 (0.3971%)
ă:    5182760 (0.3735%)
ợ:    5014173 (0.3613%)
ớ:    4671188 (0.3366%)
ấ:    4301854 (0.3100%)
ờ:    4226486 (0.3046%)
í:    4115601 (0.2966%)
ọ:    3845428 (0.2771%)
ị:    3823507 (0.2755%)
ầ:    3647395 (0.2628%)
ơ:    3529407 (0.2543%)
ề:    3447687 (0.2484%)
ự:    3436183 (0.2476%)
ở:    3105985 (0.2238%)
ú:    2824923 (0.2036%)
ã:    2808592 (0.2024%)
ì:    2668068 (0.1923%)
ứ:    2662303 (0.1918%)
ụ:    2169343 (0.1563%)
ữ:    2051476 (0.1478%)
ồ:    1902126 (0.1371%)
ổ:    1901025 (0.1370%)
ắ:    1818003 (0.1310%)
ò:    1704175 (0.1228%)
ù:    1677478 (0.1209%)
ừ:    1454753 (0.1048%)
ặ:    1328651 (0.0957%)
ử:    1307199 (0.0942%)
ỉ:    1217548 (0.0877%)
ĩ:     988929 (0.0713%)
é:     902373 (0.0650%)
ũ:     878482 (0.0633%)
ễ:     877878 (0.0633%)
ằ:     876167 (0.0631%)
ý:     854830 (0.0616%)
ỏ:     854222 (0.0616%)
ỳ:     658608 (0.0475%)
ẩ:     551749 (0.0398%)
ẫ:     460857 (0.0332%)
ỹ:     460030 (0.0331%)
ỗ:     385020 (0.0277%)
ẽ:     351140 (0.0253%)
ỷ:     323092 (0.0233%)
ẻ:     248461 (0.0179%)
è:     248336 (0.0179%)
ẹ:     207321 (0.0149%)
ỡ:     170327 (0.0123%)
õ:     159852 (0.0115%)
ẳ:     130273 (0.0094%)
ẵ:      49191 (0.0035%)
ỵ:      40326 (0.0029%)
