n:  130126761 (9.4682%)
a:  129353899 (9.4119%)
t:  121754231 (8.8590%)
h:   99066164 (7.2082%)
i:   95821392 (6.9721%)
o:   74527072 (5.4227%)
c:   70881618 (5.1574%)
g:   64489672 (4.6923%)
u:   60829231 (4.4260%)
l:   53434707 (3.8880%)
e:   52115514 (3.7920%)
r:   48615758 (3.5373%)
m:   40180055 (2.9235%)
s:   36598896 (2.6630%)
ê:   32851037 (2.3903%)
p:   26644200 (1.9387%)
ô:   25771679 (1.8752%)
ư:   24675604 (1.7954%)
đ:   22908114 (1.6668%)
b:   21251662 (1.5463%)
ơ:   20717566 (1.5074%)
v:   20711919 (1.5070%)
y:   20272846 (1.4751%)
d:   20203492 (1.4700%)
k:   16675265 (1.2133%)
q:   15190901 (1.1053%)
f:   13589306 (0.9888%)
ă:    9385045 (0.6829%)
x:    5714836 (0.4158%)
