n:      10352 (13.7016%)
a:       6717 (8.8904%)
h:       6382 (8.4471%)
i:       5755 (7.6172%)
g:       5420 (7.1738%)
t:       5034 (6.6629%)
c:       3610 (4.7781%)
u:       3059 (4.0488%)
o:       3042 (4.0263%)
ơ:       2597 (3.4373%)
m:       2575 (3.4082%)
ư:       2409 (3.1885%)
ê:       2209 (2.9238%)
ô:       1929 (2.5532%)
đ:       1854 (2.4539%)
y:       1679 (2.2223%)
l:       1610 (2.1310%)
r:       1601 (2.1190%)
ă:       1150 (1.5221%)
b:       1076 (1.4242%)
v:        913 (1.2084%)
s:        847 (1.1211%)
d:        749 (0.9914%)
e:        748 (0.9900%)
k:        727 (0.9622%)
p:        706 (0.9344%)
x:        500 (0.6618%)
q:        303 (0.4010%)
